"","V1","V2","V3","V4","V5"
"4877",14343.29,0.66,0.66,148.97,1710.32
"4878",14758.14,0.65,0.65,165.4,1722.74
"4879",14482.87,0.66,0.66,153.17,1713.22
"4880",14831.6,0.65,0.65,166.66,1723.26
"4881",14448.01,0.66,0.66,155.62,1716
"4882",14919.92,0.65,0.65,174.58,1730.26
"4883",14581.87,0.66,0.65,159.57,1718.66
"4884",14984.66,0.65,0.64,175.46,1730.45
"4885",14812.66,0.65,0.65,169.82,1726.61
"4886",15346.14,0.64,0.64,191.51,1742.51
"4887",14937.57,0.65,0.65,173.37,1728.86
"4888",15400.49,0.64,0.64,191.92,1742.3
"4889",14819.16,0.65,0.65,170.11,1726.83
"4890",15338.71,0.64,0.64,191.18,1742.27
"4891",14947.3,0.65,0.65,173.8,1729.19
"4892",15396.32,0.64,0.64,191.74,1742.17
"4893",15134.41,0.65,0.64,182.11,1735.48
"4894",15710.75,0.63,0.63,205.7,1752.4
"4895",15254.75,0.64,0.64,185.45,1737.49
"4896",15759.59,0.63,0.63,205.87,1751.97
"4897",21511.22,0.5,0.49,469.3,1917.4
"4898",22120.57,0.48,0.47,494.36,1929.53
"4899",22214.25,0.48,0.47,498.52,1931.67
"4900",22647.12,0.47,0.46,515.74,1939.43
"4901",22172.59,0.48,0.47,496.67,1930.72
"4902",22824.95,0.47,0.46,523.64,1943.39
"4903",22908.49,0.46,0.46,527.35,1945.24
"4904",23374.68,0.45,0.45,546.05,1953.43
"4905",22284.88,0.48,0.47,501.65,1933.27
"4906",22985.94,0.46,0.45,530.79,1946.95
"4907",22988.86,0.46,0.45,530.92,1947.01
"4908",23500.14,0.45,0.44,551.62,1956.14
"4909",22894.43,0.46,0.46,526.72,1944.93
"4910",23636.62,0.45,0.44,557.68,1959.07
"4911",23629.98,0.45,0.44,557.39,1958.93
"4912",24173.23,0.43,0.43,579.51,1968.43
"4913",22638.1,0.47,0.46,517.34,1941.23
"4914",23464.15,0.45,0.44,552.02,1957.37
"4915",23329.7,0.45,0.45,546.05,1954.46
"4916",23949.99,0.44,0.43,571.6,1965.74
"4917",24662.6,0.42,0.41,605.25,1982.57
"4918",25757.02,0.4,0.39,651.85,2002.54
"4919",25410.19,0.41,0.4,636.45,1995.68
"4920",26260.93,0.39,0.38,672.23,2010.35
"4921",23378.04,0.45,0.45,548.2,1955.51
"4922",24305.47,0.43,0.42,587.39,1973.19
"4923",24070.73,0.44,0.43,576.96,1968.28
"4924",24779.94,0.42,0.41,606.46,1980.97
"4925",25285.01,0.41,0.4,630.89,1993.18
"4926",26478.41,0.38,0.37,681.88,2014.52
"4927",26032.04,0.39,0.38,662.06,2005.92
"4928",26971.13,0.37,0.36,701.77,2021.85
"4929",14261.86,0.67,0.66,147.36,1709.44
"4930",14648.44,0.66,0.65,162.53,1720.97
"4931",14470.89,0.66,0.66,154.64,1714.8
"4932",14779.13,0.65,0.65,166.33,1723.46
"4933",14337,0.66,0.66,148.69,1710.1
"4934",14730.8,0.66,0.65,164.18,1721.81
"4935",14544.82,0.66,0.65,155.92,1715.38
"4936",14859.78,0.65,0.65,167.91,1724.22
"4937",14637.84,0.66,0.65,162.05,1720.6
"4938",15069.43,0.65,0.64,179.22,1733.31
"4939",14837.43,0.65,0.65,168.92,1725.46
"4940",15188.06,0.64,0.64,182.49,1735.27
"4941",14695.69,0.66,0.65,162.62,1720.6
"4942",15132.99,0.65,0.64,180.04,1733.44
"4943",14894.45,0.65,0.65,169.45,1725.4
"4944",15250.43,0.64,0.64,183.26,1735.35
"4945",15201.91,0.64,0.64,187.1,1739.74
"4946",15757.28,0.63,0.63,209.77,1755.89
"4947",15421.08,0.64,0.63,194.84,1744.98
"4948",15881.55,0.63,0.62,213.29,1757.87
"4949",15802.31,0.63,0.62,211.77,1757.34
"4950",16461.52,0.61,0.61,239.04,1776.02
"4951",16021.55,0.62,0.62,219.5,1762.31
"4952",16577.99,0.61,0.61,242.22,1777.58
"4953",15533.71,0.64,0.63,199.84,1748.66
"4954",16135.73,0.62,0.62,224.57,1765.9
"4955",15743.57,0.63,0.63,207.16,1753.45
"4956",16248.95,0.62,0.62,227.6,1767.44
"4957",16067.92,0.62,0.62,221.56,1763.77
"4958",16766.86,0.61,0.6,250.6,1783.32
"4959",16278.79,0.62,0.62,228.93,1768.37
"4960",16874.05,0.6,0.6,253.36,1784.54
"4961",21822.9,0.49,0.48,481.14,1922.67
"4962",22457.82,0.47,0.47,507.33,1935.19
"4963",22648.94,0.47,0.46,515.82,1939.47
"4964",23091.19,0.46,0.45,533.46,1947.26
"4965",22515.7,0.47,0.47,509.9,1936.49
"4966",23196.96,0.46,0.45,538.16,1949.57
"4967",23384.66,0.45,0.45,546.49,1953.65
"4968",23862.08,0.44,0.44,565.7,1961.88
"4969",22568.18,0.47,0.46,512.23,1937.67
"4970",23293.72,0.45,0.45,542.46,1951.68
"4971",23389.81,0.45,0.45,546.72,1953.76
"4972",23909.14,0.44,0.43,567.79,1962.87
"4973",23207.53,0.46,0.45,538.63,1949.8
"4974",23977.31,0.44,0.43,570.81,1964.31
